tank_id,t_is,h_valve,t_valve,t_set,t_min,t_max,time_index,month
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 04:17:30,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 04:18:37,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 04:19:44,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 04:21:56,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 04:24:08,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 04:26:21,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 04:28:33,September
97,22.4,0.0,1.0,22,21.5,22.5,2022-09-28 04:29:39,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 04:30:45,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 04:31:51,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 04:32:58,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 04:35:10,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 04:37:22,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 04:38:28,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 04:40:40,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 04:41:47,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 04:48:23,September
97,21.9,0.0,1.0,22,21.5,22.5,2022-09-28 04:56:06,September
97,21.8,0.0,1.0,22,21.5,22.5,2022-09-28 05:02:43,September
97,21.7,0.0,0.0,22,21.5,22.5,2022-09-28 05:11:31,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-28 05:19:14,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-28 05:26:57,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-28 05:28:03,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-28 05:29:10,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-28 05:30:16,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-28 05:31:22,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-28 05:36:52,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 05:37:58,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-28 05:39:04,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 05:40:11,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 05:57:48,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 06:14:19,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 06:24:14,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 06:33:03,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 06:41:52,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 06:42:58,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 06:44:04,September
97,21.9,0.0,1.0,22,21.5,22.5,2022-09-28 06:51:46,September
97,21.8,0.0,1.0,22,21.5,22.5,2022-09-28 07:02:51,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-28 07:07:15,September
97,21.7,1.0,0.0,22,21.5,22.5,2022-09-28 07:08:22,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-28 07:12:46,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-28 07:22:40,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-28 07:29:17,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 07:30:23,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 07:31:29,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-28 07:32:35,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 07:33:41,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-28 07:34:47,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-28 07:45:49,September
97,22.2,1.0,0.0,22,21.5,22.5,2022-09-28 07:55:44,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 08:05:39,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 08:15:33,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 08:24:22,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 08:29:54,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 08:37:37,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 09:03:01,September
