"time","tank_id","t_is","h_valve","t_valve"
"2022-10-01 05:34:59+00",96,"14.6",NULL,"0"
"2022-10-01 05:36:05+00",96,"14.7",NULL,"0"
"2022-10-01 05:37:11+00",96,"14.8",NULL,"0"
"2022-10-01 05:38:17+00",96,"14.9",NULL,"0"
"2022-10-01 05:39:23+00",96,"15",NULL,"0"
"2022-10-01 05:39:23+00",96,NULL,0,NULL
"2022-10-01 05:40:29+00",96,"15.2",NULL,"0"
"2022-10-01 05:41:36+00",96,"15.3",NULL,"1"
"2022-10-01 05:43:48+00",96,"15.2",NULL,"1"
"2022-10-01 05:44:54+00",96,"15",NULL,"2"
"2022-10-01 05:46:00+00",96,"14.8",NULL,"0"
"2022-10-01 05:49:18+00",96,"14.9",NULL,"0"
"2022-10-01 05:50:24+00",96,"15",NULL,"0"
"2022-10-01 05:51:30+00",96,"15.1",NULL,"0"
"2022-10-01 05:52:37+00",96,"15.2",NULL,"0"
"2022-10-01 05:53:44+00",96,"15.2",NULL,"1"
"2022-10-01 05:54:50+00",96,"15.3",NULL,"1"
"2022-10-01 05:57:02+00",96,"15",NULL,"1"
"2022-10-01 05:58:08+00",96,"14.8",NULL,"0"
"2022-10-01 05:59:14+00",96,"14.7",NULL,"0"
"2022-10-01 05:59:14+00",96,NULL,1,NULL
"2022-10-01 06:01:26+00",96,"14.8",NULL,"0"
"2022-10-01 06:02:32+00",96,"15",NULL,"0"
"2022-10-01 06:03:38+00",96,NULL,0,NULL
"2022-10-01 06:03:38+00",96,"15.1",NULL,"0"
"2022-10-01 06:04:44+00",96,"15.3",NULL,"1"
"2022-10-01 06:05:51+00",96,"15.4",NULL,"1"
"2022-10-01 06:06:57+00",96,"15.3",NULL,"1"
"2022-10-01 06:08:03+00",96,"15",NULL,"1"
"2022-10-01 06:09:09+00",96,"14.8",NULL,"0"
"2022-10-01 06:10:15+00",96,NULL,1,NULL
"2022-10-01 06:10:15+00",96,"14.7",NULL,"0"
"2022-10-01 06:11:21+00",96,"14.8",NULL,"0"
"2022-10-01 06:13:34+00",96,"14.9",NULL,"0"
"2022-10-01 06:14:40+00",96,"15",NULL,"0"
"2022-10-01 06:14:40+00",96,NULL,0,NULL
"2022-10-01 06:15:47+00",96,"15.1",NULL,"0"
"2022-10-01 06:16:53+00",96,"15.2",NULL,"0"
"2022-10-01 06:17:59+00",96,"15.3",NULL,"1"
"2022-10-01 06:20:11+00",96,"15",NULL,"1"
"2022-10-01 06:21:17+00",96,"14.8",NULL,"0"
"2022-10-01 06:22:23+00",96,NULL,1,NULL
"2022-10-01 06:22:23+00",96,"14.7",NULL,"0"
"2022-10-01 06:23:29+00",96,"14.8",NULL,"0"
"2022-10-01 06:24:35+00",96,"14.9",NULL,"0"
"2022-10-01 06:25:41+00",96,"15",NULL,"0"
"2022-10-01 06:26:47+00",96,"15.1",NULL,"0"
"2022-10-01 06:26:47+00",96,NULL,0,NULL
"2022-10-01 06:27:53+00",96,"15.3",NULL,"0"
"2022-10-01 06:29:00+00",96,"15.3",NULL,"1"
"2022-10-01 06:31:12+00",96,"15.1",NULL,"1"
"2022-10-01 06:32:18+00",96,"14.9",NULL,"0"
"2022-10-01 06:33:24+00",96,"14.8",NULL,"0"
"2022-10-01 06:34:31+00",96,"14.9",NULL,"0"
"2022-10-01 06:35:37+00",96,"15",NULL,"0"
"2022-10-01 06:36:43+00",96,"15.2",NULL,"0"
"2022-10-01 06:38:55+00",96,"15.3",NULL,"1"
"2022-10-01 06:41:08+00",96,"15.2",NULL,"1"
"2022-10-01 06:42:14+00",96,"15",NULL,"1"
"2022-10-01 06:43:20+00",96,"14.8",NULL,"0"
"2022-10-01 06:44:27+00",96,"14.7",NULL,"0"
"2022-10-01 06:44:27+00",96,NULL,1,NULL
"2022-10-01 06:45:33+00",96,"14.8",NULL,"0"
"2022-10-01 06:46:39+00",96,"14.9",NULL,"0"
"2022-10-01 06:47:45+00",96,"15",NULL,"0"
"2022-10-01 06:48:51+00",96,"15.1",NULL,"0"
"2022-10-01 06:48:51+00",96,NULL,0,NULL
"2022-10-01 06:49:57+00",96,"15.2",NULL,"0"
"2022-10-01 06:51:03+00",96,"15.3",NULL,"1"
"2022-10-01 06:52:09+00",96,"15.4",NULL,"1"
"2022-10-01 06:53:15+00",96,"15.3",NULL,"1"
"2022-10-01 06:54:21+00",96,"15.1",NULL,"1"
"2022-10-01 06:55:27+00",96,"14.9",NULL,"0"
"2022-10-01 06:56:33+00",96,"14.8",NULL,"0"
"2022-10-01 06:58:46+00",96,"15",NULL,"0"
"2022-10-01 06:59:52+00",96,"15.1",NULL,"0"
"2022-10-01 07:00:58+00",96,"15.2",NULL,"0"
"2022-10-01 07:02:05+00",96,"15.3",NULL,"1"
"2022-10-01 07:03:11+00",96,"15.4",NULL,"1"
"2022-10-01 07:04:17+00",96,"15.3",NULL,"1"
"2022-10-01 07:05:23+00",96,"15.1",NULL,"1"
"2022-10-01 07:06:29+00",96,"14.9",NULL,"0"
"2022-10-01 07:09:47+00",96,"15",NULL,"0"
"2022-10-01 07:10:54+00",96,"15.1",NULL,"0"
"2022-10-01 07:12:00+00",96,"15.2",NULL,"0"
"2022-10-01 07:13:06+00",96,"15.3",NULL,"1"
"2022-10-01 07:15:18+00",96,"15.2",NULL,"1"
"2022-10-01 07:16:24+00",96,"14.9",NULL,"0"
"2022-10-01 07:17:30+00",96,NULL,1,NULL
"2022-10-01 07:17:30+00",96,"14.7",NULL,"0"
"2022-10-01 07:19:42+00",96,"14.8",NULL,"0"
"2022-10-01 07:20:48+00",96,"14.9",NULL,"0"
"2022-10-01 07:21:55+00",96,NULL,0,NULL
"2022-10-01 07:21:55+00",96,"15.1",NULL,"0"
"2022-10-01 07:23:01+00",96,"15.2",NULL,"0"
